event_key,country,region,crop,year,window,method,top_driver_group,score,matches_event_sanity_group
United States|Washington|Wheat|1991|winter,United States,Washington,Wheat,1991.0,winter,grouped_shap,drought,0.22507406185578058,False
United States|Washington|Wheat|1992|winter,United States,Washington,Wheat,1992.0,winter,grouped_shap,drought,0.19833580588926414,False
United States|Washington|Wheat|2014|winter,United States,Washington,Wheat,2014.0,winter,grouped_shap,drought,0.3123859004545929,False
United States|Washington|Wheat|2015|winter,United States,Washington,Wheat,2015.0,winter,grouped_shap,drought,0.16985065824114937,False
United States|Washington|Wheat|2021|winter,United States,Washington,Wheat,2021.0,winter,grouped_shap,heat,0.020006623467198507,True
United States|Washington|Wheat|2023|winter,United States,Washington,Wheat,2023.0,winter,grouped_shap,excess_rain,0.07163396057118979,False
United States|Colorado|Barley|2022|spring,United States,Colorado,Barley,2022.0,spring,lime_selected,drought,0.13857870710184808,True
United States|Kansas|Oats|2012|spring,United States,Kansas,Oats,2012.0,spring,lime_selected,drought,0.09782040237935878,True
United States|Montana|Barley|2022|spring,United States,Montana,Barley,2022.0,spring,lime_selected,drought,0.07501506126715328,True
United States|Nebraska|Wheat|2022|winter,United States,Nebraska,Wheat,2022.0,winter,lime_selected,drought,0.13130984083136854,True
United States|North Dakota|Canola|2012|spring,United States,North Dakota,Canola,2012.0,spring,lime_selected,heat,0.08525997136403501,True
United States|North Dakota|Canola|2021|spring,United States,North Dakota,Canola,2021.0,spring,lime_selected,heat,0.08413423884323039,True
United States|North Dakota|Wheat|2021|spring,United States,North Dakota,Wheat,2021.0,spring,lime_selected,excess_rain,0.08506037584699686,False
United States|Oklahoma|Oats|2022|spring,United States,Oklahoma,Oats,2022.0,spring,lime_selected,heat,0.10692407605350804,True
United States|South Dakota|Barley|2012|spring,United States,South Dakota,Barley,2012.0,spring,lime_selected,heat,0.14876950690037946,True
United States|South Dakota|Barley|2021|spring,United States,South Dakota,Barley,2021.0,spring,lime_selected,heat,0.1092372361175372,True
United States|Washington|Wheat|2021|winter,United States,Washington,Wheat,2021.0,winter,lime_selected,heat,0.11267056107634496,True
