scope,driver_group,mean_abs_group_shap,mean_signed_group_shap,mean_stress_group_shap,n_rows,rank_abs,rank_stress,table,event_key,country,region,crop,year,window,signed_group_shap,abs_group_shap,stress_score
,radiation,,,,,5,5,event,United States|Nebraska|Oats|1993|spring,United States,Nebraska,Oats,1993.0,spring,-0.0014502385853695295,0.0014502385853695295,0.0014502385853695295
,heat,,,,,4,4,event,United States|Iowa|Wheat|1993|winter,United States,Iowa,Wheat,1993.0,winter,-0.11658791112995666,0.11658791112995666,0.11658791112995666
,drought,,,,,2,2,event,United States|Iowa|Wheat|1993|winter,United States,Iowa,Wheat,1993.0,winter,-0.1345114155690668,0.1345114155690668,0.1345114155690668
,frost_cold,,,,,3,3,event,United States|Iowa|Wheat|1993|winter,United States,Iowa,Wheat,1993.0,winter,-0.11767447062370286,0.11767447062370286,0.11767447062370286
,excess_rain,,,,,1,1,event,United States|Iowa|Wheat|1993|winter,United States,Iowa,Wheat,1993.0,winter,-0.2650184612541598,0.2650184612541598,0.2650184612541598
,radiation,,,,,5,5,event,United States|Iowa|Wheat|1993|winter,United States,Iowa,Wheat,1993.0,winter,-0.032108362411252304,0.032108362411252304,0.032108362411252304
,heat,,,,,1,1,event,United States|Texas|Barley|1994|spring,United States,Texas,Barley,1994.0,spring,-0.10970702215014964,0.10970702215014964,0.10970702215014964
,drought,,,,,3,5,event,United States|Texas|Barley|1994|spring,United States,Texas,Barley,1994.0,spring,0.02027781172894081,0.02027781172894081,0.0
,frost_cold,,,,,4,3,event,United States|Texas|Barley|1994|spring,United States,Texas,Barley,1994.0,spring,-0.01616647404708815,0.01616647404708815,0.01616647404708815
,excess_rain,,,,,2,2,event,United States|Texas|Barley|1994|spring,United States,Texas,Barley,1994.0,spring,-0.0769756829293741,0.0769756829293741,0.0769756829293741
,radiation,,,,,5,4,event,United States|Texas|Barley|1994|spring,United States,Texas,Barley,1994.0,spring,-0.010699315388754616,0.010699315388754616,0.010699315388754616
,heat,,,,,3,3,event,United States|Washington|Barley|1994|spring,United States,Washington,Barley,1994.0,spring,-0.11434415937266194,0.11434415937266194,0.11434415937266194
,drought,,,,,2,2,event,United States|Washington|Barley|1994|spring,United States,Washington,Barley,1994.0,spring,-0.16639252728482418,0.16639252728482418,0.16639252728482418
,frost_cold,,,,,4,4,event,United States|Washington|Barley|1994|spring,United States,Washington,Barley,1994.0,spring,-0.08000995038334736,0.08000995038334736,0.08000995038334736
,excess_rain,,,,,1,1,event,United States|Washington|Barley|1994|spring,United States,Washington,Barley,1994.0,spring,-0.16966207929893373,0.16966207929893373,0.16966207929893373
,radiation,,,,,5,5,event,United States|Washington|Barley|1994|spring,United States,Washington,Barley,1994.0,spring,-0.053424834139796984,0.053424834139796984,0.053424834139796984
,heat,,,,,3,3,event,United States|Washington|Oats|1994|spring,United States,Washington,Oats,1994.0,spring,-0.11134148936198475,0.11134148936198475,0.11134148936198475
,drought,,,,,1,1,event,United States|Washington|Oats|1994|spring,United States,Washington,Oats,1994.0,spring,-0.1706740132908724,0.1706740132908724,0.1706740132908724
,frost_cold,,,,,4,4,event,United States|Washington|Oats|1994|spring,United States,Washington,Oats,1994.0,spring,-0.07665316385551063,0.07665316385551063,0.07665316385551063
,excess_rain,,,,,2,2,event,United States|Washington|Oats|1994|spring,United States,Washington,Oats,1994.0,spring,-0.15902459209299297,0.15902459209299297,0.15902459209299297
,radiation,,,,,5,5,event,United States|Washington|Oats|1994|spring,United States,Washington,Oats,1994.0,spring,-0.06823315187154139,0.06823315187154139,0.06823315187154139
